Epochs,Batch size,Optimizer,Loss,Kernel,Bias,Accuracy
5,5,RMSprop,MeanSquaredError,None,None,99.80305433273315
5,10,RMSprop,MeanSquaredError,None,None,99.87691044807434
5,20,RMSprop,MeanSquaredError,None,None,99.90152716636658
5,50,RMSprop,MeanSquaredError,None,None,99.55686926841736
5,75,RMSprop,MeanSquaredError,None,None,97.51353859901428
5,100,RMSprop,MeanSquaredError,None,None,99.87691044807434
10,5,RMSprop,MeanSquaredError,None,None,81.88084959983826
10,10,RMSprop,MeanSquaredError,None,None,99.90152716636658
10,20,RMSprop,MeanSquaredError,None,None,99.90152716636658
10,50,RMSprop,MeanSquaredError,None,None,99.90152716636658
10,75,RMSprop,MeanSquaredError,None,None,99.87691044807434
10,100,RMSprop,MeanSquaredError,None,None,99.85228776931763
20,5,RMSprop,MeanSquaredError,None,None,99.90152716636658
20,10,RMSprop,MeanSquaredError,None,None,99.90152716636658
20,20,RMSprop,MeanSquaredError,None,None,99.87691044807434
20,50,RMSprop,MeanSquaredError,None,None,99.80305433273315
20,75,RMSprop,MeanSquaredError,None,None,99.90152716636658
20,100,RMSprop,MeanSquaredError,None,None,99.90152716636658
50,5,RMSprop,MeanSquaredError,None,None,99.92614388465881
50,10,RMSprop,MeanSquaredError,None,None,99.90152716636658
50,20,RMSprop,MeanSquaredError,None,None,99.95076060295105
50,50,RMSprop,MeanSquaredError,None,None,99.92614388465881
50,75,RMSprop,MeanSquaredError,None,None,99.92614388465881
50,100,RMSprop,MeanSquaredError,None,None,97.538161277771
75,5,RMSprop,MeanSquaredError,None,None,99.92614388465881
75,10,RMSprop,MeanSquaredError,None,None,99.95076060295105
75,20,RMSprop,MeanSquaredError,None,None,99.90152716636658
75,50,RMSprop,MeanSquaredError,None,None,99.90152716636658
75,75,RMSprop,MeanSquaredError,None,None,99.87691044807434
75,100,RMSprop,MeanSquaredError,None,None,99.97538328170776
100,5,RMSprop,MeanSquaredError,None,None,99.95076060295105
100,10,RMSprop,MeanSquaredError,None,None,97.538161277771
100,20,RMSprop,MeanSquaredError,None,None,99.87691044807434
100,50,RMSprop,MeanSquaredError,None,None,99.95076060295105
